Sorting Method,Ascending: 1,Descending: 2,Constant: 4,Random: 8,Sequence,Time
Quad, 1/4,0, 3/4,0,41,
,,,,,,
,,,,,,
Tim,0,0, 2/4, 2/4,48,
Quad,0,0, 2/4, 2/4,48,
Tim,0,0, 2/4, 2/4,84,
Quad,0,0, 2/4, 2/4,84,
,,,,,,
,,,,,,
Tim,0, 1/4, 2/4, 1/4,248,
Quad,0, 1/4, 2/4, 1/4,248,
Tim,0, 1/4, 2/4, 1/4,284,
Quad,0, 1/4, 2/4, 1/4,284,
Tim,0, 1/4, 2/4, 1/4,428,
Quad,0, 1/4, 2/4, 1/4,428,
Tim,0, 1/4, 2/4, 1/4,482,
Quad,0, 1/4, 2/4, 1/4,482,
Tim,0, 1/4, 2/4, 1/4,824,
Quad,0, 1/4, 2/4, 1/4,824,
Tim,0, 1/4, 2/4, 1/4,842,
Quad,0, 1/4, 2/4, 1/4,842,
,,,,,,
,,,,,,
Tim, 1/4,0, 2/4, 1/4,148,
Quad, 1/4,0, 2/4, 1/4,148,
Tim, 1/4,0, 2/4, 1/4,184,
Quad, 1/4,0, 2/4, 1/4,184,
Tim, 1/4,0, 2/4, 1/4,418,
Quad, 1/4,0, 2/4, 1/4,418,
Tim, 1/4,0, 2/4, 1/4,481,
Quad, 1/4,0, 2/4, 1/4,481,
Tim, 1/4,0, 2/4, 1/4,814,
Quad, 1/4,0, 2/4, 1/4,814,
Tim, 1/4,0, 2/4, 1/4,841,
Quad, 1/4,0, 2/4, 1/4,841,
,,,,,,
,,,,,,
Tim, 1/4, 1/4, 2/4,0,124,
Quad, 1/4, 1/4, 2/4,0,124,
Tim, 1/4, 1/4, 2/4,0,142,
Quad, 1/4, 1/4, 2/4,0,142,
Tim, 1/4, 1/4, 2/4,0,214,
Quad, 1/4, 1/4, 2/4,0,214,
Tim, 1/4, 1/4, 2/4,0,241,
Quad, 1/4, 1/4, 2/4,0,241,
Tim, 1/4, 1/4, 2/4,0,412,
Quad, 1/4, 1/4, 2/4,0,412,
Tim, 1/4, 1/4, 2/4,0,421,
Quad, 1/4, 1/4, 2/4,0,421,
,,,,,,
,,,,,,
Tim,0,0, 1/4, 3/4,48,
Quad,0,0, 1/4, 3/4,48,
Tim,0,0, 1/4, 3/4,84,
Quad,0,0, 1/4, 3/4,84,
,,,,,,
,,,,,,
Tim,0, 1/4,0, 3/4,28,
Quad,0, 1/4,0, 3/4,28,
Tim,0, 1/4,0, 3/4,82,
Quad,0, 1/4,0, 3/4,82,
,,,,,,
,,,,,,
Tim, 1/4,0,0, 3/4,18,
Quad, 1/4,0,0, 3/4,18,
Tim, 1/4,0,0, 3/4,81,
Quad, 1/4,0,0, 3/4,81,
,,,,,,
,,,,,,
Tim,0, 1/4, 1/4, 2/4,248,
Quad,0, 1/4, 1/4, 2/4,248,
Tim,0, 1/4, 1/4, 2/4,284,
Quad,0, 1/4, 1/4, 2/4,284,
Tim,0, 1/4, 1/4, 2/4,428,
Quad,0, 1/4, 1/4, 2/4,428,
Tim,0, 1/4, 1/4, 2/4,482,
Quad,0, 1/4, 1/4, 2/4,482,
Tim,0, 1/4, 1/4, 2/4,824,
Quad,0, 1/4, 1/4, 2/4,824,
Tim,0, 1/4, 1/4, 2/4,842,
Quad,0, 1/4, 1/4, 2/4,842,
,,,,,,
,,,,,,
Tim, 1/4,0, 1/4, 2/4,148,
Quad, 1/4,0, 1/4, 2/4,148,
Tim, 1/4,0, 1/4, 2/4,184,
Quad, 1/4,0, 1/4, 2/4,184,
Tim, 1/4,0, 1/4, 2/4,418,
Quad, 1/4,0, 1/4, 2/4,418,
Tim, 1/4,0, 1/4, 2/4,481,
Quad, 1/4,0, 1/4, 2/4,481,
Tim, 1/4,0, 1/4, 2/4,814,
Quad, 1/4,0, 1/4, 2/4,814,
