Quad,ACRR,0.000405,
Quick,ACRR,0.000615,
Tim,ACRR,0.000792,
Cape,ARAA,0.000285,
Quad,ARAA,0.000260,
Quick,ARAA,0.000555,
Tim,ARAA,0.000455,
Cape,ARAD,0.000348,
Quad,ARAD,0.000326,
Quick,ARAD,0.000589,
Tim,ARAD,0.000530,
Cape,ARAC,0.000265,
Quad,ARAC,0.000250,
Quick,ARAC,0.000523,
Tim,ARAC,0.000418,
Cape,ARAR,0.000440,
Quad,ARAR,0.000428,
Quick,ARAR,0.000650,
Tim,ARAR,0.000828,
Cape,ARDA,0.000374,
Quad,ARDA,0.000362,
Quick,ARDA,0.000625,
Tim,ARDA,0.000562,
Cape,ARDD,0.000337,
Quad,ARDD,0.000318,
Quick,ARDD,0.000531,
Tim,ARDD,0.000483,
Cape,ARDC,0.000307,
Quad,ARDC,0.000292,
Quick,ARDC,0.000527,
Tim,ARDC,0.000480,
Cape,ARDR,0.000447,
Quad,ARDR,0.000428,
Quick,ARDR,0.000614,
Tim,ARDR,0.000794,
Cape,ARCA,0.000247,
Quad,ARCA,0.000230,
Quick,ARCA,0.000479,
Tim,ARCA,0.000400,
Cape,ARCD,0.000301,
Quad,ARCD,0.000283,
Quick,ARCD,0.000523,
Tim,ARCD,0.000498,
Cape,ARCC,0.000273,
Quad,ARCC,0.000250,
Quick,ARCC,0.000519,
Tim,ARCC,0.000426,
Cape,ARCR,0.000419,
Quad,ARCR,0.000394,
Quick,ARCR,0.000606,
Tim,ARCR,0.000801,
Cape,ARRA,0.000403,
Quad,ARRA,0.000389,
Quick,ARRA,0.000596,
Tim,ARRA,0.000791,
Cape,ARRD,0.000456,
Quad,ARRD,0.000438,
Quick,ARRD,0.000624,
Tim,ARRD,0.000821,
Cape,ARRC,0.000423,
Quad,ARRC,0.000387,
Quick,ARRC,0.000618,
Tim,ARRC,0.000772,
Cape,ARRR,0.000557,
Quad,ARRR,0.000526,
Quick,ARRR,0.000701,
Tim,ARRR,0.001098,
Cape,DAAA,0.000184,
Quad,DAAA,0.000173,
Quick,DAAA,0.000478,
Tim,DAAA,0.000099,
Cape,DAAD,0.000237,
Quad,DAAD,0.000219,
Quick,DAAD,0.000496,
Tim,DAAD,0.000163,
Cape,DAAC,0.000180,
Quad,DAAC,0.000163,
Quick,DAAC,0.000469,
Tim,DAAC,0.000098,
Cape,DAAR,0.000326,
Quad,DAAR,0.000308,
Quick,DAAR,0.000544,
Tim,DAAR,0.000458,
Cape,DADA,0.000297,
Quad,DADA,0.000278,
Quick,DADA,0.000558,
Tim,DADA,0.000269,
Cape,DADD,0.000265,
Quad,DADD,0.000247,
Quick,DADD,0.000484,
Tim,DADD,0.000269,
Cape,DADC,0.000238,
Quad,DADC,0.000222,
Quick,DADC,0.000476,
Tim,DADC,0.000226,
Cape,DADR,0.000425,
Quad,DADR,0.000404,
Quick,DADR,0.000632,
Tim,DADR,0.000626,
Cape,DACA,0.000172,
Quad,DACA,0.000157,
Quick,DACA,0.000441,
Tim,DACA,0.000111,
Cape,DACD,0.000235,
Quad,DACD,0.000215,
Quick,DACD,0.000475,
Tim,DACD,0.000209,
Cape,DACC,0.000177,
Quad,DACC,0.000159,
Quick,DACC,0.000427,
Tim,DACC,0.000118,
Cape,DACR,0.000321,
Quad,DACR,0.000306,
Quick,DACR,0.000543,
