Sorts,Sequence,Time
Quad,RDCR,0.005478
Quad,RDDA,0.004209
Quad,RDDC,0.004034
Quad,RDDD,0.004408
Quad,RDDR,0.005617
Quad,RDRA,0.005661
Quad,RDRC,0.005429
Quad,RDRD,0.005894
Quad,RDRR,0.007002
Quad,RRAA,0.004665
Quad,RRAC,0.004616
Quad,RRAD,0.005612
Quad,RRAR,0.006559
Quad,RRCA,0.004727
Quad,RRCC,0.004715
Quad,RRCD,0.005421
Quad,RRCR,0.006683
Quad,RRDA,0.005790
Quad,RRDC,0.005497
Quad,RRDD,0.005755
Quad,RRDR,0.007105
Quad,RRRA,0.006654
Quad,RRRC,0.006643
Quad,RRRD,0.007223
Quad,RRRR,0.008407
