Sorts,Sequence,Time,
Cape - Tim,DCCA,0.001327,[-39250 -39251 -39253 -39255 -39257],[-49041 -49041 -49041 -49041 -49041],[-49041 -49041 -49041 -49041 -49041],[-39177 -39176 -39174 -39173 -39172],
Quad,DCCA,0.001897,
Quick,DCCA,0.005896,
Tim,DCCA,0.001298,
Cape - Tim,DCCD,0.001774,[-39353 -39355 -39357 -39359 -39360],[-49193 -49193 -49193 -49193 -49193],[-49193 -49193 -49193 -49193 -49193],[-58946 -58947 -58948 -58949 -58951],
Quad,DCCD,0.002345,
Quick,DCCD,0.005946,
Tim,DCCD,0.001760,
Cape - Tim,DCCC,0.001169,[-39312 -39314 -39315 -39316 -39318],[-49136 -49136 -49136 -49136 -49136],[-49136 -49136 -49136 -49136 -49136],[-49136 -49136 -49136 -49136 -49136],
Quad,DCCC,0.001692,
Quick,DCCC,0.005649,
Tim,DCCC,0.001134,
Cape - Quad,DCCR,0.003789,[-39231 -39233 -39235 -39237 -39238],[-48998 -48998 -48998 -48998 -48998],[-48998 -48998 -48998 -48998 -48998],[-48926 -48924 -48925 -48923 -48925],
Quad,DCCR,0.003732,
Quick,DCCR,0.006786,
Tim,DCCR,0.005256,
Cape - Quad,DCRA,0.004005,[-39365 -39366 -39368 -39369 -39370],[-49178 -49178 -49178 -49178 -49178],[-49142 -49140 -49141 -49139 -49140],[-39343 -39341 -39339 -39338 -39336],
Quad,DCRA,0.003949,
Quick,DCRA,0.007023,
Tim,DCRA,0.005553,
Cape - Quad,DCRD,0.004309,[-39285 -39286 -39288 -39290 -39291],[-49125 -49125 -49125 -49125 -49125],[-49069 -49067 -49068 -49066 -49068],[-58930 -58932 -58933 -58934 -58935],
Quad,DCRD,0.004259,
Quick,DCRD,0.007163,
Tim,DCRD,0.005577,
Cape - Quad,DCRC,0.003856,[-39359 -39360 -39362 -39363 -39364],[-49194 -49194 -49194 -49194 -49194],[-49130 -49129 -49131 -49130 -49132],[-49050 -49050 -49050 -49050 -49050],
Quad,DCRC,0.003800,
Quick,DCRC,0.006891,
Tim,DCRC,0.005134,
Cape - Quad,DCRR,0.005476,[-39322 -39323 -39324 -39326 -39328],[-49155 -49155 -49155 -49155 -49155],[-49179 -49178 -49179 -49177 -49178],[-49242 -49241 -49243 -49242 -49244],
Quad,DCRR,0.005415,
Quick,DCRR,0.007960,
Tim,DCRR,0.009159,
Cape - Quad,DRAA,0.003669,[-39247 -39249 -39250 -39251 -39253],[-49074 -49072 -49073 -49071 -49072],[-29431 -29430 -29428 -29427 -29425],[9880 9881 9883 9885 9887],
Quad,DRAA,0.003612,
Quick,DRAA,0.006939,
Tim,DRAA,0.005106,
Cape - Quad,DRAD,0.004806,[-39251 -39252 -39253 -39254 -39255],[-49048 -49047 -49049 -49047 -49049],[-29388 -29387 -29386 -29384 -29383],[-9688 -9689 -9691 -9692 -9693],
Quad,DRAD,0.004749,
Quick,DRAD,0.007727,
Tim,DRAD,0.006156,
Cape - Quad,DRAC,0.003726,[-39349 -39351 -39352 -39353 -39354],[-49254 -49252 -49254 -49253 -49255],[-29569 -29567 -29565 -29563 -29561],[-92 -92 -92 -92 -92],
Quad,DRAC,0.003673,
Quick,DRAC,0.007024,
Tim,DRAC,0.005234,
Cape - Quad,DRAR,0.005620,[-39275 -39277 -39278 -39279 -39281],[-48983 -48981 -48983 -48981 -48983],[-29397 -29395 -29394 -29393 -29391],[323 325 323 325 324],
Quad,DRAR,0.005560,
Quick,DRAR,0.008079,
Tim,DRAR,0.009108,
Cape - Quad,DRDA,0.004457,[-39297 -39298 -39300 -39302 -39303],[-49133 -49132 -49134 -49132 -49133],[-68745 -68746 -68747 -68749 -68750],[-88379 -88378 -88376 -88374 -88372],
Quad,DRDA,0.004401,
Quick,DRDA,0.007322,
Tim,DRDA,0.005590,
Cape - Quad,DRDD,0.004603,[-39402 -39403 -39404 -39406 -39408],[-49222 -49221 -49223 -49221 -49223],[-68880 -68882 -68884 -68885 -68886],[-108282 -108284 -108286 -108287 -108289],
Quad,DRDD,0.004547,
Quick,DRDD,0.007315,
Tim,DRDD,0.006159,
Cape - Quad,DRDC,0.004210,[-39309 -39311 -39313 -39314 -39315],[-49036 -49034 -49035 -49033 -49035],[-68653 -68655 -68657 -68659 -68661],[-98172 -98172 -98172 -98172 -98172],
Quad,DRDC,0.004156,
Quick,DRDC,0.007022,
Tim,DRDC,0.005553,
Cape - Quad,DRDR,0.005850,[-39358 -39360 -39361 -39362 -39363],[-49248 -49246 -49248 -49246 -49247],[-68808 -68810 -68812 -68814 -68816],[-98419 -98418 -98420 -98418 -98420],
Quad,DRDR,0.005789,
Quick,DRDR,0.008098,
Tim,DRDR,0.009386,
Cape - Quad,DRCA,0.003715,[-39223 -39225 -39227 -39229 -39230],[-49115 -49113 -49115 -49113 -49114],[-49204 -49204 -49204 -49204 -49204],[-39364 -39363 -39361 -39360 -39358],
Quad,DRCA,0.003657,
Quick,DRCA,0.007006,
Tim,DRCA,0.005460,
Cape - Quad,DRCD,0.004126,[-39417 -39418 -39419 -39420 -39422],[-49135 -49134 -49136 -49134 -49136],[-49168 -49168 -49168 -49168 -49168],[-59014 -59015 -59016 -59017 -59018],
Quad,DRCD,0.004067,
Quick,DRCD,0.006995,
Tim,DRCD,0.005723,
Cape - Quad,DRCC,0.003483,[-39191 -39193 -39195 -39197 -39198],[-48942 -48940 -48941 -48940 -48942],[-48937 -48937 -48937 -48937 -48937],[-48937 -48937 -48937 -48937 -48937],
Quad,DRCC,0.003426,
Quick,DRCC,0.006727,
Tim,DRCC,0.005590,
Cape - Quad,DRCR,0.005487,[-39305 -39306 -39308 -39309 -39311],[-49241 -49240 -49241 -49239 -49240],[-49164 -49164 -49164 -49164 -49164],[-49123 -49122 -49123 -49122 -49124],
Quad,DRCR,0.005428,
Quick,DRCR,0.007946,
Tim,DRCR,0.008863,
Cape - Quad,DRRA,0.005682,[-39350 -39351 -39352 -39354 -39356],[-49129 -49128 -49130 -49129 -49130],[-49191 -49190 -49191 -49189 -49191],[-39265 -39264 -39262 -39261 -39259],
Quad,DRRA,0.005626,
Quick,DRRA,0.008159,
Tim,DRRA,0.009256,
Cape - Quad,DRRD,0.005970,[-39297 -39298 -39300 -39302 -39303],[-49052 -49051 -49053 -49052 -49053],[-49134 -49133 -49134 -49133 -49135],[-58807 -58809 -58811 -58812 -58813],
Quad,DRRD,0.005913,
Quick,DRRD,0.008273,
Tim,DRRD,0.009401,
Cape - Quad,DRRC,0.005453,[-39369 -39370 -39371 -39373 -39375],[-49156 -49155 -49157 -49155 -49156],[-49219 -49217 -49218 -49217 -49219],[-49190 -49190 -49190 -49190 -49190],
Quad,DRRC,0.005394,
Quick,DRRC,0.007940,
Tim,DRRC,0.009163,
Cape - Quad,DRRR,0.007190,[-39313 -39315 -39316 -39317 -39318],[-49203 -49201 -49202 -49201 -49203],[-49150 -49149 -49150 -49149 -49150],[-49144 -49142 -49143 -49142 -49144],
Quad,DRRR,0.007130,
Quick,DRRR,0.009117,
Tim,DRRR,0.012899,
Cape - Tim,CAAA,0.000414,[55 55 55 55 55],[29621 29623 29625 29627 29629],[68848 68849 68851 68852 68853],[108196 108197 108198 108200 108202],
Quad,CAAA,0.000495,
Quick,CAAA,0.005207,
Tim,CAAA,0.000403,
Cape - Tim,CAAD,0.001081,[26 26 26 26 26],[29426 29427 29428 29429 29430],[68740 68741 68742 68743 68744],[88369 88367 88366 88365 88364],
Quad,CAAD,0.001819,
Quick,CAAD,0.005756,
Tim,CAAD,0.001069,
Cape - Tim,CAAC,0.000414,[77 77 77 77 77],[29470 29471 29473 29475 29477],[68828 68829 68830 68832 68833],[98305 98305 98305 98305 98305],
Quad,CAAC,0.000495,
Quick,CAAC,0.005211,
Tim,CAAC,0.000403,
Cape - Quad,CAAR,0.002533,[90 90 90 90 90],[29516 29517 29519 29521 29523],[68775 68776 68777 68779 68781],[98261 98263 98262 98264 98262],
Quad,CAAR,0.002485,
Quick,CAAR,0.006393,
Tim,CAAR,0.004290,
Cape - Tim,CADA,0.001659,[11 11 11 11 11],[29573 29575 29577 29578 29580],[29555 29553 29551 29550 29548],[9907 9909 9910 9912 9913],
Quad,CADA,0.002225,
Quick,CADA,0.006283,
Tim,CADA,0.001644,
Cape - Tim,CADD,0.001582,[49 49 49 49 49],[29621 29622 29623 29625 29626],[29631 29630 29629 29628 29626],[-9678 -9680 -9681 -9682 -9683],
Quad,CADD,0.002290,
Quick,CADD,0.006172,
Tim,CADD,0.001564,
Cape - Tim,CADC,0.001515,[71 71 71 71 71],[29483 29485 29486 29487 29488],[29505 29504 29502 29501 29499],[60 60 60 60 60],
Quad,CADC,0.001906,
Quick,CADC,0.005897,
Tim,CADC,0.001500,
Cape - Quad,CADR,0.003738,[37 37 37 37 37],[29433 29435 29436 29437 29438],[29448 29446 29444 29443 29441],[34 36 35 36 35],
Quad,CADR,0.003685,
Quick,CADR,0.007065,
Tim,CADR,0.005317,
Cape - Tim,CACA,0.000414,[92 92 92 92 92],[29532 29533 29534 29535 29537],[49137 49137 49137 49137 49137],[58993 58994 58995 58997 58999],
Quad,CACA,0.000495,
Quick,CACA,0.005206,
Tim,CACA,0.000403,
Cape - Tim,CACD,0.001386,[21 21 21 21 21],[29561 29562 29563 29564 29566],[49191 49191 49191 49191 49191],[39323 39322 39320 39319 39318],
Quad,CACD,0.001749,
Quick,CACD,0.005786,
Tim,CACD,0.001373,
Cape - Tim,CACC,0.000415,[80 80 80 80 80],[29512 29513 29514 29515 29516],[49202 49202 49202 49202 49202],[49202 49202 49202 49202 49202],
Quad,CACC,0.000495,
Quick,CACC,0.005217,
Tim,CACC,0.000403,
Cape - Quad,CACR,0.002977,[56 56 56 56 56],[29466 29467 29468 29470 29472],[49138 49138 49138 49138 49138],[49228 49229 49228 49229 49228],
Quad,CACR,0.002926,
Quick,CACR,0.006429,
Tim,CACR,0.004374,
Cape - Quad,CARA,0.002995,[27 27 27 27 27],[29511 29512 29514 29516 29518],[49200 49202 49200 49202 49201],[59043 59044 59045 59047 59049],
Quad,CARA,0.002945,
Quick,CARA,0.006386,
Tim,CARA,0.004624,
Cape - Quad,CARD,0.003713,[27 27 27 27 27],[29501 29502 29504 29506 29508],[49220 49221 49220 49222 49220],[39464 39462 39461 39460 39459],
Quad,CARD,0.003661,
Quick,CARD,0.007019,
Tim,CARD,0.005159,
Cape - Quad,CARC,0.003036,[27 27 27 27 27],[29520 29521 29522 29523 29524],[49171 49172 49171 49172 49170],[49185 49185 49185 49185 49185],
Quad,CARC,0.002986,
Quick,CARC,0.006522,
Tim,CARC,0.004582,
Cape - Quad,CARR,0.004787,[56 56 56 56 56],[29474 29476 29477 29479 29481],[49051 49053 49052 49054 49052],[48979 48981 48980 48981 48980],
Quad,CARR,0.004731,
Quick,CARR,0.007732,
Tim,CARR,0.008491,
Cape - Tim,CDAA,0.001467,[76 76 76 76 76],[-29385 -29386 -29387 -29389 -29390],[-29462 -29460 -29459 -29458 -29457],[9904 9906 9908 9909 9911],
Quad,CDAA,0.001760,
Quick,CDAA,0.005787,
Tim,CDAA,0.001455,
Cape - Tim,CDAD,0.002521,[22 22 22 22 22],[-29418 -29420 -29421 -29423 -29424],[-29480 -29479 -29477 -29476 -29474],[-9836 -9838 -9840 -9842 -9844],
Quad,CDAD,0.002901,
Quick,CDAD,0.006587,
Tim,CDAD,0.002507,
Cape - Tim,CDAC,0.001902,[14 14 14 14 14],[-29514 -29516 -29518 -29519 -29521],[-29523 -29521 -29519 -29517 -29516],[-58 -58 -58 -58 -58],
Quad,CDAC,0.001759,
Quick,CDAC,0.005802,
Tim,CDAC,0.001895,
Cape - Quad,CDAR,0.003901,[10 10 10 10 10],[-29600 -29601 -29603 -29605 -29606],[-29665 -29664 -29663 -29661 -29659],[-7 -5 -7 -5 -7],
Quad,CDAR,0.003846,
Quick,CDAR,0.007012,
Tim,CDAR,0.005429,
Cape - Tim,CDDA,0.001773,[24 24 24 24 24],[-29577 -29578 -29580 -29582 -29584],[-68909 -68910 -68912 -68914 -68915],[-88720 -88719 -88717 -88715 -88713],
Quad,CDDA,0.002317,
Quick,CDDA,0.006105,
Tim,CDDA,0.001765,
Cape - Tim,CDDD,0.001714,[86 86 86 86 86],[-29369 -29371 -29373 -29374 -29375],[-68672 -68674 -68676 -68677 -68679],[-108037 -108038 -108039 -108041 -108042],
Quad,CDDD,0.002493,
Quick,CDDD,0.006126,
Tim,CDDD,0.001693,
Cape - Tim,CDDC,0.001635,[81 81 81 81 81],[-29431 -29433 -29434 -29435 -29437],[-68467 -68468 -68469 -68470 -68472],[-98127 -98127 -98127 -98127 -98127],
Quad,CDDC,0.002106,
Quick,CDDC,0.005852,
Tim,CDDC,0.001628,
Cape - Quad,CDDR,0.003959,[44 44 44 44 44],[-29551 -29552 -29554 -29555 -29556],[-68718 -68720 -68722 -68723 -68724],[-98116 -98115 -98117 -98115 -98116],
Quad,CDDR,0.003910,
Quick,CDDR,0.007041,
Tim,CDDR,0.005419,
Cape - Quad,CDCA,0.001955,[87 87 87 87 87],[-29380 -29382 -29383 -29385 -29387],[-49071 -49071 -49071 -49071 -49071],[-39214 -39213 -39212 -39210 -39209],
Quad,CDCA,0.001912,
Quick,CDCA,0.005898,
Tim,CDCA,0.001797,
Cape - Tim,CDCD,0.002048,[12 12 12 12 12],[-29562 -29563 -29564 -29566 -29568],[-49208 -49208 -49208 -49208 -49208],[-59025 -59026 -59028 -59029 -59031],
Quad,CDCD,0.002198,
Quick,CDCD,0.005845,
Tim,CDCD,0.002041,
Cape - Quad,CDCC,0.001672,[49 49 49 49 49],[-29385 -29387 -29389 -29391 -29393],[-48999 -48999 -48999 -48999 -48999],[-48999 -48999 -48999 -48999 -48999],
Quad,CDCC,0.001627,
Quick,CDCC,0.005551,
Tim,CDCC,0.001893,
Cape - Quad,CDCR,0.003705,[21 21 21 21 21],[-29433 -29435 -29437 -29438 -29439],[-49159 -49159 -49159 -49159 -49159],[-49164 -49162 -49163 -49162 -49164],
Quad,CDCR,0.003656,
Quick,CDCR,0.006823,
Tim,CDCR,0.005599,
Cape - Quad,CDRA,0.003918,[44 44 44 44 44],[-29439 -29440 -29442 -29443 -29445],[-48925 -48923 -48924 -48923 -48924],[-39148 -39147 -39145 -39143 -39142],
Quad,CDRA,0.003865,
Quick,CDRA,0.007023,
Tim,CDRA,0.005444,
Cape - Quad,CDRD,0.004185,[23 23 23 23 23],[-29515 -29517 -29518 -29520 -29522],[-49185 -49184 -49186 -49184 -49185],[-58995 -58997 -58999 -59000 -59001],
Quad,CDRD,0.004130,
Quick,CDRD,0.007109,
Tim,CDRD,0.005677,
Cape - Quad,CDRC,0.003713,[49 49 49 49 49],[-29456 -29457 -29458 -29459 -29460],[-48987 -48986 -48988 -48987 -48988],[-48916 -48916 -48916 -48916 -48916],
Quad,CDRC,0.003657,
Quick,CDRC,0.006818,
Tim,CDRC,0.005296,
Cape - Quad,CDRR,0.005356,[8 8 8 8 8],[-29438 -29439 -29440 -29441 -29443],[-48978 -48976 -48977 -48975 -48976],[-48972 -48970 -48972 -48970 -48971],
Quad,CDRR,0.005299,
Quick,CDRR,0.007880,
Tim,CDRR,0.009148,
Cape - Tim,CCAA,0.000415,[93 93 93 93 93],[93 93 93 93 93],[19777 19778 19779 19780 19782],[59201 59202 59204 59206 59207],
Quad,CCAA,0.000495,
Quick,CCAA,0.005210,
Tim,CCAA,0.000404,
Cape - Tim,CCAD,0.001085,[28 28 28 28 28],[28 28 28 28 28],[19690 19691 19693 19694 19695],[39436 39434 39432 39431 39430],
Quad,CCAD,0.001431,
Quick,CCAD,0.005763,
Tim,CCAD,0.001072,
Cape - Tim,CCAC,0.000415,[26 26 26 26 26],[26 26 26 26 26],[19740 19742 19744 19745 19747],[49168 49168 49168 49168 49168],
Quad,CCAC,0.000495,
Quick,CCAC,0.005208,
Tim,CCAC,0.000404,
Cape - Quad,CCAR,0.002570,[32 32 32 32 32],[32 32 32 32 32],[19773 19775 19777 19778 19780],[49285 49286 49285 49286 49284],
Quad,CCAR,0.002522,
Quick,CCAR,0.006457,
Tim,CCAR,0.004238,
Cape - Tim,CCDA,0.001470,[13 13 13 13 13],[13 13 13 13 13],[-19592 -19594 -19595 -19597 -19599],[-39440 -39438 -39437 -39435 -39433],
Quad,CCDA,0.001664,
Quick,CCDA,0.005804,
Tim,CCDA,0.001457,
Cape - Tim,CCDD,0.001397,[21 21 21 21 21],[21 21 21 21 21],[-19666 -19668 -19670 -19672 -19674],[-58972 -58973 -58974 -58976 -58978],
Quad,CCDD,0.001841,
Quick,CCDD,0.005823,
Tim,CCDD,0.001386,
Cape - Tim,CCDC,0.001332,[38 38 38 38 38],[38 38 38 38 38],[-19561 -19562 -19564 -19565 -19567],[-49018 -49018 -49018 -49018 -49018],
Quad,CCDC,0.001456,
Quick,CCDC,0.005551,
Tim,CCDC,0.001321,
Cape - Quad,CCDR,0.003264,[27 27 27 27 27],[27 27 27 27 27],[-19570 -19571 -19573 -19574 -19576],[-49150 -49149 -49150 -49148 -49149],
Quad,CCDR,0.003215,
Quick,CCDR,0.006687,
Tim,CCDR,0.005070,
Cape - Tim,CCCA,0.000415,[87 87 87 87 87],[87 87 87 87 87],[87 87 87 87 87],[9925 9927 9928 9930 9932],
Quad,CCCA,0.000495,
Quick,CCCA,0.005209,
Tim,CCCA,0.000403,
Cape - Tim,CCCD,0.001205,[7 7 7 7 7],[7 7 7 7 7],[7 7 7 7 7],[-9866 -9868 -9869 -9871 -9872],
Quad,CCCD,0.001605,
Quick,CCCD,0.005626,
Tim,CCCD,0.001196,
Cape - Tim,CCCC,0.000415,[66 66 66 66 66],[66 66 66 66 66],[66 66 66 66 66],[66 66 66 66 66],
Quad,CCCC,0.000495,
Quick,CCCC,0.005209,
Tim,CCCC,0.000403,
Cape - Quad,CCCR,0.003001,[28 28 28 28 28],[28 28 28 28 28],[28 28 28 28 28],[4 6 5 7 6],
Quad,CCCR,0.002949,
Quick,CCCR,0.006420,
Tim,CCCR,0.004636,
Cape - Quad,CCRA,0.002982,[68 68 68 68 68],[68 68 68 68 68],[121 123 122 123 122],[9998 9999 10000 10002 10003],
Quad,CCRA,0.002925,
Quick,CCRA,0.006368,
Tim,CCRA,0.004918,
Cape - Quad,CCRD,0.003549,[95 95 95 95 95],[95 95 95 95 95],[112 114 113 114 112],[-9693 -9695 -9697 -9699 -9700],
Quad,CCRD,0.003499,
Quick,CCRD,0.006817,
Tim,CCRD,0.005140,
Cape - Quad,CCRC,0.003025,[2 2 2 2 2],[2 2 2 2 2],[21 23 21 23 21],[54 54 54 54 54],
Quad,CCRC,0.002977,
Quick,CCRC,0.006454,
Tim,CCRC,0.004897,
Cape - Quad,CCRR,0.004860,[62 62 62 62 62],[62 62 62 62 62],[7 9 7 9 8],[-27 -26 -28 -26 -28],
Quad,CCRR,0.004806,
Quick,CCRR,0.007870,
Tim,CCRR,0.008802,
Cape - Quad,CRAA,0.003004,[68 68 68 68 68],[50 51 50 52 51],[19740 19741 19742 19744 19746],[58933 58935 58937 58938 58939],
Quad,CRAA,0.002951,
Quick,CRAA,0.006411,
Tim,CRAA,0.005028,
Cape - Quad,CRAD,0.003888,[16 16 16 16 16],[78 80 78 79 78],[19777 19778 19780 19781 19783],[39407 39405 39403 39402 39401],
Quad,CRAD,0.003834,
Quick,CRAD,0.006882,
Tim,CRAD,0.005269,
Cape - Quad,CRAC,0.003049,[11 11 11 11 11],[-48 -47 -49 -48 -49],[19744 19745 19746 19748 19749],[49372 49372 49372 49372 49372],
Quad,CRAC,0.002996,
Quick,CRAC,0.006501,
Tim,CRAC,0.004925,
Cape - Quad,CRAR,0.005045,[12 12 12 12 12],[-27 -26 -27 -26 -27],[19562 19563 19564 19565 19566],[49001 49003 49002 49003 49001],
Quad,CRAR,0.004992,
Quick,CRAR,0.007718,
Tim,CRAR,0.008959,
Cape - Quad,CRDA,0.004058,[66 66 66 66 66],[127 128 127 129 127],[-19478 -19480 -19482 -19484 -19485],[-39176 -39175 -39173 -39171 -39169],
Quad,CRDA,0.004009,
Quick,CRDA,0.007112,
Tim,CRDA,0.005409,
Cape - Quad,CRDD,0.004105,[32 32 32 32 32],[124 125 124 125 124],[-19592 -19594 -19596 -19598 -19600],[-58919 -58920 -58921 -58923 -58924],
Quad,CRDD,0.004052,
Quick,CRDD,0.006982,
Tim,CRDD,0.005397,
Cape - Quad,CRDC,0.003851,[47 47 47 47 47],[12 14 12 14 13],[-19650 -19651 -19652 -19654 -19655],[-49330 -49330 -49330 -49330 -49330],
Quad,CRDC,0.003792,
Quick,CRDC,0.006905,
Tim,CRDC,0.005314,
Cape - Quad,CRDR,0.005539,[60 60 60 60 60],[103 105 103 105 103],[-19538 -19539 -19540 -19541 -19543],[-49171 -49170 -49171 -49169 -49170],
Quad,CRDR,0.005485,
Quick,CRDR,0.008012,
Tim,CRDR,0.009031,
Cape - Quad,CRCA,0.003085,[63 63 63 63 63],[-33 -32 -33 -31 -33],[-79 -79 -79 -79 -79],[9751 9753 9755 9756 9758],
Quad,CRCA,0.003034,
Quick,CRCA,0.006560,
Tim,CRCA,0.005038,
Cape - Quad,CRCD,0.003749,[39 39 39 39 39],[145 146 144 145 144],[126 126 126 126 126],[-9636 -9638 -9639 -9641 -9643],
Quad,CRCD,0.003694,
Quick,CRCD,0.006818,
Tim,CRCD,0.005454,
Cape - Quad,CRCC,0.003144,[5 5 5 5 5],[27 29 27 28 27],[94 94 94 94 94],[94 94 94 94 94],
Quad,CRCC,0.003090,
Quick,CRCC,0.006591,
Tim,CRCC,0.004724,
Cape - Quad,CRCR,0.005084,[94 94 94 94 94],[-23 -22 -24 -22 -23],[54 54 54 54 54],[34 36 34 36 34],
Quad,CRCR,0.005028,
Quick,CRCR,0.007805,
Tim,CRCR,0.009051,
Cape - Quad,CRRA,0.005082,[45 45 45 45 45],[-67 -65 -66 -65 -66],[-3 -2 -4 -3 -5],[9684 9686 9688 9690 9691],
Quad,CRRA,0.005023,
Quick,CRRA,0.007753,
Tim,CRRA,0.009112,
Cape - Quad,CRRD,0.005557,[83 83 83 83 83],[151 153 152 153 152],[145 146 145 146 144],[-9744 -9745 -9746 -9747 -9749],
Quad,CRRD,0.005502,
Quick,CRRD,0.008032,
Tim,CRRD,0.009182,
Cape - Quad,CRRC,0.005115,[73 73 73 73 73],[-136 -135 -136 -135 -136],[24 25 24 26 25],[39 39 39 39 39],
Quad,CRRC,0.005063,
Quick,CRRC,0.007833,
Tim,CRRC,0.008784,
Cape - Quad,CRRR,0.006796,[81 81 81 81 81],[49 50 48 50 49],[-31 -30 -32 -30 -31],[90 91 89 91 90],
Quad,CRRR,0.006733,
Quick,CRRR,0.008930,
Tim,CRRR,0.012717,
Cape - Quad,RAAA,0.002518,[133 135 133 134 132],[29711 29713 29714 29716 29718],[69003 69004 69006 69008 69009],[108316 108317 108319 108320 108322],
Quad,RAAA,0.002459,
Quick,RAAA,0.006311,
Tim,RAAA,0.004002,
Cape - Quad,RAAD,0.003502,[-64 -62 -63 -61 -62],[29466 29467 29469 29471 29472],[68841 68842 68844 68846 68847],[88489 88488 88487 88485 88483],
Quad,RAAD,0.003449,
Quick,RAAD,0.006919,
Tim,RAAD,0.004890,
Cape - Quad,RAAC,0.002541,[-19 -18 -20 -18 -20],[29534 29536 29538 29540 29542],[68841 68842 68843 68845 68847],[98444 98444 98444 98444 98444],
Quad,RAAC,0.002484,
Quick,RAAC,0.006340,
Tim,RAAC,0.004124,
Cape - Quad,RAAR,0.004508,[-13 -12 -13 -12 -14],[29377 29379 29380 29382 29384],[68778 68779 68781 68783 68785],[98259 98260 98258 98259 98258],
Quad,RAAR,0.004447,
Quick,RAAR,0.007498,
Tim,RAAR,0.008090,
Cape - Quad,RADA,0.004352,[101 102 100 102 101],[29389 29391 29392 29393 29395],[29347 29345 29343 29341 29339],[9548 9549 9551 9552 9554],
Quad,RADA,0.004294,
Quick,RADA,0.007440,
Tim,RADA,0.005591,
Cape - Quad,RADD,0.004428,[92 93 92 93 91],[29601 29602 29603 29605 29606],[29555 29553 29551 29549 29548],[-9601 -9602 -9603 -9604 -9605],
Quad,RADD,0.004369,
Quick,RADD,0.007341,
Tim,RADD,0.005301,
Cape - Quad,RADC,0.004049,[13 15 14 15 14],[29474 29476 29478 29480 29482],[29537 29535 29533 29531 29530],[77 77 77 77 77],
Quad,RADC,0.003991,
Quick,RADC,0.007089,
Tim,RADC,0.005204,
Cape - Quad,RADR,0.005717,[191 192 190 191 189],[29647 29649 29650 29652 29653],[29592 29590 29588 29586 29584],[70 71 70 72 70],
Quad,RADR,0.005657,
Quick,RADR,0.008207,
Tim,RADR,0.009086,
Cape - Quad,RACA,0.002549,[-33 -32 -33 -32 -33],[29545 29547 29549 29550 29552],[49174 49174 49174 49174 49174],[59008 59009 59011 59012 59013],
Quad,RACA,0.002493,
Quick,RACA,0.006346,
Tim,RACA,0.004156,
Cape - Quad,RACD,0.003855,[-14 -13 -15 -13 -15],[29368 29369 29371 29373 29374],[49123 49123 49123 49123 49123],[39278 39277 39275 39274 39272],
Quad,RACD,0.003792,
Quick,RACD,0.006909,
Tim,RACD,0.005182,
Cape - Quad,RACC,0.002560,[11 12 10 11 10],[29423 29425 29427 29428 29430],[49134 49134 49134 49134 49134],[49134 49134 49134 49134 49134],
Quad,RACC,0.002504,
Quick,RACC,0.006374,
Tim,RACC,0.004185,
Cape - Quad,RACR,0.004915,[231 232 231 232 231],[29692 29693 29694 29695 29697],[49364 49364 49364 49364 49364],[49417 49418 49417 49419 49418],
Quad,RACR,0.004861,
Quick,RACR,0.007488,
Tim,RACR,0.007980,
Cape - Quad,RARA,0.005022,[-31 -30 -32 -30 -31],[29447 29448 29450 29452 29454],[49083 49085 49084 49086 49084],[58782 58784 58785 58786 58787],
Quad,RARA,0.004961,
Quick,RARA,0.007633,
Tim,RARA,0.008593,
Cape - Quad,RARD,0.005652,[46 47 45 46 44],[29626 29627 29628 29629 29630],[49343 49345 49344 49346 49345],[39634 39633 39631 39630 39629],
Quad,RARD,0.005594,
Quick,RARD,0.008107,
Tim,RARD,0.008900,
Cape - Quad,RARC,0.004928,[31 33 32 34 32],[29578 29580 29581 29582 29584],[49303 49304 49302 49304 49303],[49346 49346 49346 49346 49346],
Quad,RARC,0.004868,
Quick,RARC,0.007498,
Tim,RARC,0.008289,
Cape - Quad,RARR,0.006808,[16 18 16 17 16],[29443 29444 29446 29448 29449],[49147 49148 49146 49148 49147],[49128 49129 49127 49128 49126],
Quad,RARR,0.006749,
Quick,RARR,0.008939,
Tim,RARR,0.012254,
Cape - Quad,RDAA,0.003704,[125 127 126 128 127],[-29383 -29384 -29385 -29386 -29387],[-29301 -29299 -29298 -29297 -29296],[9858 9860 9861 9862 9863],
Quad,RDAA,0.003644,
Quick,RDAA,0.006962,
Tim,RDAA,0.006496,
Cape - Quad,RDAD,0.004732,[-132 -131 -133 -131 -132],[-29734 -29736 -29738 -29740 -29742],[-29749 -29748 -29747 -29745 -29743],[-9963 -9965 -9966 -9968 -9970],
Quad,RDAD,0.004669,
Quick,RDAD,0.007648,
Tim,RDAD,0.007459,
Cape - Quad,RDAC,0.003693,[71 72 70 71 70],[-29440 -29442 -29443 -29445 -29446],[-29263 -29261 -29260 -29259 -29257],[207 207 207 207 207],
Quad,RDAC,0.003631,
Quick,RDAC,0.006970,
Tim,RDAC,0.006619,
Cape - Quad,RDAR,0.005737,[48 50 49 51 49],[-29353 -29355 -29356 -29357 -29359],[-29394 -29392 -29391 -29390 -29389],[159 161 160 161 160],
Quad,RDAR,0.005666,
Quick,RDAR,0.008259,
Tim,RDAR,0.010479,
