Sorts,Sequence,Time,
Tim,ADCA,0.002052,
Cape - Tim,ADCD,0.002224,[39428 39429 39430 39431 39432],[19826 19825 19823 19822 19821],[227 227 227 227 227],[-9666 -9667 -9668 -9670 -9671],
Quad,ADCD,0.002485,
Quick,ADCD,0.006105,
Tim,ADCD,0.002217,
Cape - Quad,ADCC,0.001950,[39389 39391 39393 39394 39396],[19626 19624 19622 19621 19620],[-124 -124 -124 -124 -124],[-124 -124 -124 -124 -124],
Quad,ADCC,0.001907,
Quick,ADCC,0.005802,
Tim,ADCC,0.002069,
Cape - Quad,ADCR,0.003910,[39313 39315 39316 39317 39318],[19680 19678 19676 19675 19674],[31 31 31 31 31],[33 34 33 35 33],
Quad,ADCR,0.003862,
Quick,ADCR,0.006957,
Tim,ADCR,0.005689,
Cape - Quad,ADRA,0.004306,[39370 39372 39373 39375 39377],[19846 19844 19842 19840 19839],[180 182 181 183 182],[10160 10162 10164 10166 10168],
Quad,ADRA,0.004258,
Quick,ADRA,0.007424,
Tim,ADRA,0.005728,
Cape - Quad,ADRD,0.004411,[39467 39469 39471 39472 39474],[19660 19658 19656 19654 19652],[161 163 161 162 160],[-9723 -9724 -9725 -9726 -9728],
Quad,ADRD,0.004362,
Quick,ADRD,0.007286,
Tim,ADRD,0.005789,
Cape - Quad,ADRC,0.003936,[39560 39561 39563 39564 39566],[19899 19898 19896 19894 19893],[266 267 266 268 267],[258 258 258 258 258],
Quad,ADRC,0.003886,
Quick,ADRC,0.006997,
Tim,ADRC,0.005650,
Cape - Quad,ADRR,0.005613,[39334 39336 39337 39338 39339],[19648 19647 19646 19645 19644],[8 10 9 11 9],[-101 -99 -100 -99 -101],
Quad,ADRR,0.005566,
Quick,ADRR,0.008124,
Tim,ADRR,0.009288,
Cape - Tim,ACAA,0.000411,[39308 39309 39310 39312 39313],[49138 49138 49138 49138 49138],[68692 68694 68695 68697 68699],[107896 107898 107900 107901 107902],
Quad,ACAA,0.000494,
Quick,ACAA,0.005205,
Tim,ACAA,0.000403,
Cape - Tim,ACAD,0.001080,[39340 39341 39342 39343 39345],[49190 49190 49190 49190 49190],[68832 68833 68835 68836 68838],[88526 88524 88523 88521 88520],
Quad,ACAD,0.001434,
Quick,ACAD,0.005757,
Tim,ACAD,0.001070,
Cape - Tim,ACAC,0.000411,[39288 39290 39291 39293 39294],[49157 49157 49157 49157 49157],[68767 68768 68770 68772 68773],[98216 98216 98216 98216 98216],
Quad,ACAC,0.000494,
Quick,ACAC,0.005203,
Tim,ACAC,0.000403,
Cape - Quad,ACAR,0.002603,[39453 39455 39456 39458 39460],[49214 49214 49214 49214 49214],[68858 68859 68861 68862 68863],[98436 98438 98437 98438 98437],
Quad,ACAR,0.002559,
Quick,ACAR,0.006483,
Tim,ACAR,0.004331,
Cape - Tim,ACDA,0.001805,[39351 39352 39353 39354 39356],[49131 49131 49131 49131 49131],[29430 29428 29426 29424 29422],[9755 9756 9757 9759 9760],
Quad,ACDA,0.002241,
Quick,ACDA,0.006281,
Tim,ACDA,0.001791,
Cape - Tim,ACDD,0.001577,[39410 39411 39413 39414 39416],[49257 49257 49257 49257 49257],[29570 29569 29567 29566 29564],[-9688 -9690 -9691 -9693 -9695],
Quad,ACDD,0.002214,
Quick,ACDD,0.006079,
Tim,ACDD,0.001565,
Cape - Tim,ACDC,0.001508,[39363 39365 39366 39367 39369],[49152 49152 49152 49152 49152],[29402 29400 29399 29397 29396],[-229 -229 -229 -229 -229],
Quad,ACDC,0.001832,
Quick,ACDC,0.005803,
Tim,ACDC,0.001500,
Cape - Quad,ACDR,0.003648,[39402 39403 39405 39406 39408],[49225 49225 49225 49225 49225],[29568 29566 29564 29563 29561],[-2 -1 -2 0 -2],
Quad,ACDR,0.003597,
Quick,ACDR,0.006937,
Tim,ACDR,0.005208,
Cape - Tim,ACCA,0.000411,[39361 39362 39363 39364 39366],[49218 49218 49218 49218 49218],[49218 49218 49218 49218 49218],[59031 59033 59034 59036 59038],
Quad,ACCA,0.000495,
Quick,ACCA,0.005206,
Tim,ACCA,0.000403,
Cape - Tim,ACCD,0.001382,[39498 39500 39501 39503 39505],[49348 49348 49348 49348 49348],[49348 49348 49348 49348 49348],[39532 39531 39529 39527 39526],
Quad,ACCD,0.001756,
Quick,ACCD,0.005784,
Tim,ACCD,0.001372,
Cape - Tim,ACCC,0.000411,[39406 39407 39408 39410 39412],[49220 49220 49220 49220 49220],[49220 49220 49220 49220 49220],[49220 49220 49220 49220 49220],
Quad,ACCC,0.000494,
Quick,ACCC,0.005209,
Tim,ACCC,0.000404,
Cape - Quad,ACCR,0.002997,[39406 39407 39408 39410 39412],[49220 49220 49220 49220 49220],[49220 49220 49220 49220 49220],[49182 49183 49182 49183 49181],
Quad,ACCR,0.002951,
Quick,ACCR,0.006453,
Tim,ACCR,0.004485,
Cape - Quad,ACRA,0.003046,[39430 39432 39433 39435 39437],[49215 49215 49215 49215 49215],[49204 49206 49205 49207 49205],[59073 59074 59075 59076 59077],
Quad,ACRA,0.002995,
Quick,ACRA,0.006475,
Tim,ACRA,0.004871,
Cape - Quad,ACRD,0.003693,[39203 39204 39205 39207 39209],[49057 49057 49057 49057 49057],[49090 49092 49091 49093 49092],[39196 39195 39194 39193 39192],
Quad,ACRD,0.003644,
Quick,ACRD,0.007000,
Tim,ACRD,0.005413,
Cape - Quad,ACRC,0.002993,[39343 39345 39347 39348 39349],[49175 49175 49175 49175 49175],[49225 49226 49224 49225 49224],[49226 49226 49226 49226 49226],
Quad,ACRC,0.002939,
Quick,ACRC,0.006421,
Tim,ACRC,0.004793,
Cape - Quad,ACRR,0.004708,[39286 39287 39288 39289 39290],[49054 49054 49054 49054 49054],[49063 49065 49064 49066 49064],[49070 49072 49071 49072 49071],
Quad,ACRR,0.004659,
Quick,ACRR,0.007646,
Tim,ACRR,0.008517,
Cape - Quad,ARAA,0.003009,[39271 39272 39273 39274 39276],[48983 48985 48984 48986 48984],[68604 68606 68607 68609 68610],[107978 107980 107981 107982 107983],
Quad,ARAA,0.002963,
Quick,ARAA,0.006447,
Tim,ARAA,0.004768,
Cape - Quad,ARAD,0.003975,[39235 39236 39238 39239 39241],[49050 49051 49050 49051 49049],[68738 68739 68741 68743 68745],[88348 88347 88345 88344 88342],
Quad,ARAD,0.003930,
Quick,ARAD,0.007040,
Tim,ARAD,0.005454,
Cape - Quad,ARAC,0.002964,[39205 39206 39207 39209 39211],[49148 49149 49148 49149 49147],[68920 68922 68924 68925 68927],[98352 98352 98352 98352 98352],
Quad,ARAC,0.002917,
Quick,ARAC,0.006343,
Tim,ARAC,0.004511,
Cape - Quad,ARAR,0.004949,[39309 39311 39313 39315 39316],[49116 49118 49116 49117 49116],[68780 68781 68783 68784 68785],[98406 98408 98407 98408 98407],
Quad,ARAR,0.004904,
Quick,ARAR,0.007575,
Tim,ARAR,0.008575,
Cape - Quad,ARDA,0.004303,[39260 39262 39263 39265 39267],[49076 49077 49075 49077 49075],[29467 29466 29465 29463 29462],[9805 9807 9809 9810 9811],
Quad,ARDA,0.004250,
Quick,ARDA,0.007442,
Tim,ARDA,0.005661,
Cape - Quad,ARDD,0.004388,[39384 39386 39387 39389 39391],[49207 49209 49208 49210 49209],[29531 29529 29527 29525 29523],[-9707 -9708 -9709 -9711 -9712],
Quad,ARDD,0.004333,
Quick,ARDD,0.007372,
Tim,ARDD,0.005519,
Cape - Quad,ARDC,0.003980,[39380 39382 39383 39384 39385],[49209 49211 49209 49210 49209],[29513 29511 29510 29508 29507],[21 21 21 21 21],
Quad,ARDC,0.003930,
Quick,ARDC,0.007000,
Tim,ARDC,0.005392,
Cape - Quad,ARDR,0.005763,[39321 39322 39323 39324 39325],[48968 48970 48969 48971 48969],[29417 29416 29414 29412 29410],[-119 -118 -120 -118 -119],
Quad,ARDR,0.005712,
Quick,ARDR,0.008296,
Tim,ARDR,0.009166,
Cape - Quad,ARCA,0.003110,[39378 39380 39382 39383 39384],[49152 49153 49151 49152 49150],[49199 49199 49199 49199 49199],[59035 59036 59038 59039 59041],
Quad,ARCA,0.003058,
Quick,ARCA,0.006624,
Tim,ARCA,0.004691,
Cape - Quad,ARCD,0.003950,[39489 39491 39492 39493 39495],[49223 49224 49223 49225 49223],[49246 49246 49246 49246 49246],[39398 39396 39395 39394 39393],
Quad,ARCD,0.003899,
Quick,ARCD,0.007123,
Tim,ARCD,0.005529,
Cape - Quad,ARCC,0.003133,[39408 39409 39410 39411 39412],[49265 49266 49264 49266 49264],[49242 49242 49242 49242 49242],[49242 49242 49242 49242 49242],
Quad,ARCC,0.003082,
Quick,ARCC,0.006585,
Tim,ARCC,0.004692,
