Sorts,Sequence,Time
Tim,AAAACD,0.002910
Tim,AAADAD,0.003163
Tim,AAADDC,0.003170
Tim,AAADDD,0.003130
Tim,AACAAD,0.002941
Tim,AACACC,0.002310
Tim,AACCDD,0.002918
Tim,AACDAD,0.003149
Tim,AACDDA,0.002853
Tim,AADADD,0.003666
Tim,AADCAC,0.002637
Tim,AADCAD,0.002418
Tim,AADCDD,0.002980
Tim,AADDAA,0.003299
Tim,AADDAC,0.003268
Tim,AADDAD,0.003543
Tim,AADDCA,0.002942
Tim,AADDCC,0.002810
Tim,AADDCD,0.003676
Tim,AADDDA,0.003224
Tim,AADDDD,0.004112
Tim,ACAAAD,0.002438
Tim,ACADAD,0.002972
Tim,ACADCC,0.002536
Tim,ACADDD,0.003479
Tim,ACCAAA,0.002387
Tim,ACCAAD,0.002341
Tim,ACCACA,0.002139
Tim,ACCCAC,0.001760
Tim,ACCCDA,0.002189
Tim,ACCCDD,0.002475
Tim,ACCDAD,0.003217
Tim,ACCDCD,0.003117
Tim,ACCDDA,0.002949
Tim,ACDACC,0.001962
Tim,ACDADA,0.003012
Tim,ACDADD,0.003071
Tim,ACDCAD,0.002923
Tim,ACDCCA,0.002336
Tim,ACDCDD,0.003577
Tim,ACDDAA,0.003254
Tim,ACDDCA,0.002460
Tim,ACDDCC,0.002776
Tim,ACDDCD,0.003518
Tim,ACDDDA,0.002943
Tim,ACDDDC,0.002990
Tim,ACDDDD,0.003647
Tim,ADAAAA,0.002793
Tim,ADAACD,0.003039
Tim,ADAADD,0.003223
Tim,ADACAD,0.002678
Tim,ADACCC,0.002376
Tim,ADADAA,0.002818
Tim,ADADAD,0.003057
Tim,ADADCD,0.003310
Tim,ADADDA,0.003102
Tim,ADADDC,0.002987
Tim,ADADDD,0.003614
Tim,ADCAAA,0.002593
Tim,ADCADC,0.002541
Tim,ADCADD,0.003473
Tim,ADCCAD,0.002643
Tim,ADCCDD,0.003216
Tim,ADCDAA,0.002882
Tim,ADCDAD,0.003423
Tim,ADCDCA,0.002672
Tim,ADCDCD,0.002640
Tim,ADCDDA,0.003106
Tim,ADCDDC,0.003146
Tim,ADCDDD,0.002962
Tim,ADDAAA,0.003102
Tim,ADDAAC,0.003151
Tim,ADDAAD,0.002890
Tim,ADDACA,0.002711
Tim,ADDACD,0.002707
Tim,ADDADA,0.003063
Tim,ADDADC,0.003155
Tim,ADDADD,0.003857
Tim,ADDCAA,0.002984
Tim,ADDCAC,0.003127
Tim,ADDCAD,0.003031
Tim,ADDCCA,0.002431
Tim,ADDCCD,0.002528
Tim,ADDCDA,0.002683
Tim,ADDCDD,0.002838
Tim,ADDDAA,0.003462
Tim,ADDDAC,0.002401
Tim,ADDDAD,0.003169
Tim,ADDDCA,0.002728
Tim,ADDDCC,0.002499
Tim,ADDDCD,0.003911
Tim,ADDDDA,0.002999
Tim,ADDDDC,0.002639
Tim,ADDDDD,0.003879
Tim,CAAAAD,0.003175
Tim,CAAACA,0.002185
Tim,CAAACC,0.001785
Tim,CAAADD,0.003361
Tim,CAACDD,0.002247
Tim,CAADAA,0.002504
Tim,CAADCD,0.002656
Tim,CAADDA,0.002447
Tim,CAADDD,0.003513
Tim,CACCAA,0.002004
Tim,CACCCD,0.002400
Tim,CACCDD,0.002639
Tim,CACDDC,0.002950
Tim,CACDDD,0.003487
Tim,CADACC,0.002055
Tim,CADACD,0.002099
Tim,CADADA,0.002678
Tim,CADADD,0.002980
Tim,CADCAD,0.002087
Tim,CADCDD,0.002678
Tim,CADDAA,0.002204
Tim,CADDAD,0.003181
Tim,CADDCA,0.003170
Tim,CADDDA,0.003036
Tim,CADDDC,0.003291
Tim,CADDDD,0.002917
Tim,CCAAAA,0.002119
Tim,CCAAAC,0.001944
Tim,CCAACD,0.002203
Tim,CCACAD,0.001902
Tim,CCADCC,0.002350
Tim,CCADDA,0.002897
Tim,CCADDC,0.002903
Tim,CCCAAC,0.001563
Tim,CCCACA,0.001635
Tim,CCCADD,0.002684
Tim,CCCCDD,0.002563
Tim,CCCDAA,0.002720
Tim,CCCDCC,0.001833
