Sorts,Sequence,Time
Tim,CCCDCD,0.002774
Tim,CCDACA,0.002244
Tim,CCDADD,0.003204
Tim,CCDCAD,0.002941
Tim,CCDCCA,0.002147
Tim,CCDCCC,0.002367
Tim,CCDCCD,0.002031
Tim,CCDCDA,0.002189
Tim,CCDDCA,0.002299
Tim,CCDDCD,0.003150
Tim,CCDDDD,0.003766
Tim,CDAAAD,0.003404
Tim,CDAACA,0.002647
Tim,CDACAA,0.002376
Tim,CDACAC,0.001867
Tim,CDACAD,0.003121
Tim,CDACCA,0.002090
Tim,CDACDA,0.002981
Tim,CDACDC,0.002638
Tim,CDACDD,0.003343
Tim,CDADAA,0.002701
Tim,CDADAD,0.003341
Tim,CDADCD,0.003212
Tim,CDADDA,0.003178
Tim,CDADDD,0.003763
Tim,CDCAAC,0.002445
Tim,CDCAAD,0.002300
Tim,CDCACC,0.002092
Tim,CDCACD,0.002668
Tim,CDCADA,0.002798
Tim,CDCCAD,0.002388
Tim,CDCCCC,0.002533
Tim,CDCCDC,0.002629
Tim,CDCCDD,0.003103
Tim,CDCDAD,0.003229
Tim,CDCDCA,0.002815
Tim,CDCDDA,0.003260
Tim,CDCDDC,0.003209
Tim,CDCDDD,0.003702
Tim,CDDAAA,0.002768
Tim,CDDAAD,0.003705
Tim,CDDACA,0.002100
Tim,CDDACD,0.002884
Tim,CDDADA,0.003601
Tim,CDDADD,0.004178
Tim,CDDCAA,0.002542
Tim,CDDCAC,0.002925
Tim,CDDCCA,0.002961
Tim,CDDCCC,0.002537
Tim,CDDCCD,0.002793
Tim,CDDCDD,0.003644
Tim,CDDDAA,0.003320
Tim,CDDDAC,0.003052
Tim,CDDDAD,0.003712
Tim,CDDDCA,0.003476
Tim,CDDDCD,0.002864
Tim,CDDDDA,0.002842
Tim,CDDDDC,0.003018
Tim,CDDDDD,0.004085
Tim,DAAAAA,0.002769
Tim,DAAAAC,0.002642
Tim,DAAAAD,0.003232
Tim,DAAACA,0.002892
Tim,DAAADA,0.003146
Tim,DAAADD,0.002521
Tim,DAACAA,0.002291
Tim,DAACCD,0.002392
Tim,DAACDA,0.003534
Tim,DAACDD,0.002286
Tim,DAADAA,0.003059
Tim,DAADAC,0.002904
Tim,DAADAD,0.002888
Tim,DAADCA,0.003233
Tim,DAADCC,0.002419
Tim,DAADDA,0.002960
Tim,DAADDD,0.003940
Tim,DACAAA,0.002862
Tim,DACAAD,0.002210
Tim,DACACA,0.002176
Tim,DACACC,0.001704
Tim,DACACD,0.002266
Tim,DACADC,0.002454
Tim,DACCAC,0.002379
Tim,DACCCA,0.002051
Tim,DACCCD,0.002745
Tim,DACCDD,0.003188
Tim,DACDAA,0.002975
Tim,DACDAD,0.003063
Tim,DACDCA,0.002571
Tim,DACDCC,0.003014
Tim,DACDDA,0.003262
Tim,DACDDC,0.002459
Tim,DACDDD,0.003787
Tim,DADAAA,0.003206
Tim,DADAAC,0.003087
Tim,DADAAD,0.003022
Tim,DADACA,0.002321
Tim,DADACC,0.002367
Tim,DADACD,0.002850
Tim,DADADD,0.003313
Tim,DADCAA,0.002932
Tim,DADCAD,0.003447
Tim,DADCCD,0.003470
Tim,DADCDA,0.003252
Tim,DADCDC,0.003438
Tim,DADCDD,0.003569
Tim,DADDAA,0.003047
Tim,DADDAC,0.002972
Tim,DADDAD,0.003573
Tim,DADDCA,0.003276
Tim,DADDCC,0.003314
Tim,DADDCD,0.003893
Tim,DADDDA,0.003124
Tim,DADDDC,0.003599
Tim,DADDDD,0.004050
Tim,DCAAAD,0.002969
Tim,DCAADD,0.002723
Tim,DCACAD,0.002261
Tim,DCACCC,0.002510
Tim,DCACCD,0.002781
Tim,DCACDD,0.003091
Tim,DCADDA,0.002695
Tim,DCADDD,0.003205
Tim,DCCAAA,0.002391
Tim,DCCAAC,0.002126
Tim,DCCACA,0.002402
Tim,DCCACD,0.002658
Tim,DCCADD,0.002448
Tim,DCCCAA,0.002463
Tim,DCCCCA,0.002284
Tim,DCCCCC,0.001876
Tim,DCCCDA,0.002331
Tim,DCCCDC,0.002635
Tim,DCCCDD,0.003093
Tim,DCCDAA,0.002519
Tim,DCCDAC,0.002061
Tim,DCCDAD,0.002693
Tim,DCCDCA,0.003065
Tim,DCCDCC,0.002386
Tim,DCCDDA,0.003154
Tim,DCCDDC,0.003149
Tim,DCCDDD,0.003035
Tim,DCDAAA,0.003512
Tim,DCDAAC,0.002720
Tim,DCDADA,0.003391
Tim,DCDADC,0.003222
Tim,DCDADD,0.002898
Tim,DCDCAA,0.002251
Tim,DCDCAD,0.002652
Tim,DCDCCC,0.002757
Tim,DCDCCD,0.002556
Tim,DCDCDA,0.002614
Tim,DCDCDC,0.003180
Tim,DCDCDD,0.003609
Tim,DCDDAA,0.003106
Tim,DCDDAC,0.003479
Tim,DCDDAD,0.003524
Tim,DCDDCA,0.002687
Tim,DCDDCC,0.003008
Tim,DCDDCD,0.003065
Tim,DCDDDA,0.003371
Tim,DCDDDC,0.003401
Tim,DCDDDD,0.003817
Tim,DDAAAA,0.002883
Tim,DDAAAC,0.002366
Tim,DDAAAD,0.002738
Tim,DDAACA,0.003617
Tim,DDAACC,0.002657
Tim,DDAACD,0.003630
Tim,DDAADC,0.003255
Tim,DDAADD,0.003386
Tim,DDACAA,0.003078
Tim,DDACAC,0.002322
Tim,DDACAD,0.003152
Tim,DDACCA,0.003113
Tim,DDACCC,0.001823
Tim,DDACCD,0.003413
Tim,DDACDA,0.002710
Tim,DDACDC,0.003190
Tim,DDACDD,0.003625
Tim,DDADAA,0.003553
Tim,DDADAC,0.003484
Tim,DDADAD,0.003736
Tim,DDADCA,0.003039
Tim,DDADCC,0.002321
Tim,DDADCD,0.003007
Tim,DDADDA,0.004204
Tim,DDADDC,0.003567
Tim,DDADDD,0.004213
Tim,DDCAAA,0.002887
Tim,DDCAAC,0.002713
Tim,DDCAAD,0.002965
Tim,DDCACA,0.002682
Tim,DDCACC,0.001961
Tim,DDCADA,0.003022
Tim,DDCADC,0.003168
Tim,DDCADD,0.002443
Tim,DDCCAA,0.002831
Tim,DDCCAC,0.003098
Tim,DDCCAD,0.003433
Tim,DDCCCA,0.002327
Tim,DDCCDA,0.003269
Tim,DDCCDC,0.003149
Tim,DDCCDD,0.003561
Tim,DDCDAA,0.003113
Tim,DDCDAC,0.003367
Tim,DDCDAD,0.003820
Tim,DDCDCA,0.003416
Tim,DDCDCC,0.001993
Tim,DDCDCD,0.003557
Tim,DDCDDA,0.003236
Tim,DDCDDC,0.002279
Tim,DDCDDD,0.002887
Tim,DDDAAA,0.002876
Tim,DDDAAC,0.003230
Tim,DDDAAD,0.004020
Tim,DDDACA,0.002126
Tim,DDDACD,0.002879
Tim,DDDADA,0.002366
Tim,DDDADC,0.002556
Tim,DDDADD,0.004239
Tim,DDDCAA,0.002922
Tim,DDDCAC,0.002045
Tim,DDDCAD,0.003742
Tim,DDDCCA,0.002654
Tim,DDDCCC,0.003055
Tim,DDDCCD,0.003699
Tim,DDDCDA,0.003024
Tim,DDDCDC,0.003569
Tim,DDDCDD,0.004161
Tim,DDDDAA,0.002758
Tim,DDDDAC,0.002965
Tim,DDDDAD,0.004007
Tim,DDDDCA,0.002770
Tim,DDDDCC,0.003381
Tim,DDDDCD,0.003174
Tim,DDDDDA,0.003814
Tim,DDDDDC,0.004032
Tim,DDDDDD,0.004433
